policy_area,check_item,source_url,observed_value,status,notes,evidence_path
Scientific Reports format,Article title length,https://www.nature.com/srep/author-instructions/submission-guidelines,14 words,pass,Scientific Reports guidance recommends titles of no more than 20 words.,07_manuscript/manuscript_scientific_reports.md
Scientific Reports format,Abstract length,https://www.nature.com/srep/author-instructions/submission-guidelines,175 words,pass,Scientific Reports guidance recommends an abstract of no more than 200 words.,07_manuscript/manuscript_scientific_reports.md
Scientific Reports format,Abstract structure and references,https://www.nature.com/srep/author-instructions/submission-guidelines,unstructured; no detected reference pattern,pass,Scientific Reports asks for an unstructured abstract without references.,07_manuscript/manuscript_scientific_reports.md
Scientific Reports format,Keywords,https://www.nature.com/srep/author-instructions/submission-guidelines,6 keywords,pass,Scientific Reports allows up to six keywords or key phrases.,07_manuscript/manuscript_scientific_reports.md
Scientific Reports format,Main-text word count,https://www.nature.com/srep/author-instructions/submission-guidelines,"3564 words excluding Abstract, Methods, figure legends and References",pass,"Machine count uses Introduction, Results, Discussion and Limitations only.",07_manuscript/manuscript_scientific_reports.md
Scientific Reports format,Display-item count,https://www.nature.com/srep/author-instructions/submission-guidelines,6 main figures,pass,The submission-facing manuscript uses six composite main figures.,05_figures/
Scientific Reports format,Required article sections,https://www.nature.com/srep/author-instructions/submission-guidelines,Introduction; Results; Discussion; Methods,pass,The article uses the expected scientific-article structure.,07_manuscript/manuscript_scientific_reports.md
Scientific Reports format,AI-assisted tool-use documentation,https://www.nature.com/srep/author-instructions/submission-guidelines,Methods subsection present,pass,Official guidance says LLM use should be documented in Methods or a suitable alternative section.,07_manuscript/manuscript_scientific_reports.md
Nature Portfolio reporting,Reporting Summary,https://www.nature.com/nature-portfolio/editorial-policies/reporting-standards,working draft generated,ready_human_finalize,Nature Portfolio indicates life-science manuscripts require a reporting summary when sent for review; the final official form remains human-gated.,08_submission_strategy/nature_portfolio_reporting_summary_working_draft.md
Data and code availability,Data availability statement,https://www.nature.com/nature-portfolio/editorial-policies/reporting-standards,present,pass_author_decision_no_repository,Public data sources are listed; repository deposition is deferred before initial submission by author decision.,07_manuscript/manuscript_scientific_reports.md
Data and code availability,Code availability statement,https://www.nature.com/nature-portfolio/editorial-policies/reporting-standards,present,pass_author_decision_no_repository,The reproducible workflow path is listed; code is available from the corresponding author upon reasonable request before initial submission.,07_manuscript/manuscript_scientific_reports.md
Authorship and declarations,Author agreement and title-page metadata,https://www.nature.com/srep/journal-policies/editorial-policies,author metadata supplied,ready_author_confirmed,"Author list, affiliations and correspondence details are supplied; all-author agreement remains a real-world author responsibility before submission.",08_submission_strategy/human_submission_metadata_template.md
Authorship and declarations,Competing interests statement,https://www.nature.com/nature-portfolio/editorial-policies/competing-interests,statement supplied,ready_author_confirmed,The author confirmed no competing interests; all authors should preserve this statement only if it remains true before submission.,08_submission_strategy/human_submission_metadata_template.md
Submission engineering,Editable DOCX render QA,https://www.nature.com/srep/author-instructions/submission-guidelines,18 pages; 04_results/qc/scientific_reports_docx_render_metrics.csv,pass_internal_qa,Local render QA is an internal check; final journal-system PDF preview remains human-gated.,04_results/qc/scientific_reports_docx_qa.csv
Submission engineering,Local upload dry-run bundle,https://www.nature.com/srep/author-instructions/submission-guidelines,machine_bundle_clearance=pass,pass_not_final_upload_clear,Local bundle clearance does not replace final upload-system preview.,08_submission_strategy/scientific_reports_submission_bundle_qc.csv
