source_sheet,sample_label,stage,macrophages,fibroblasts
Figure 2d,NE 1,NE,0.94760599,0.121748390424868
Figure 2d,NE 2,NE,2.50158814,0.434668235354454
Figure 2d,NE 3,NE,0.0,0.0
Figure 2d,NE 4,NE,0.0,0.0
Figure 2d,NE 5,NE,3.24673132,0.688679245142764
Figure 2d,NE 6,NE,1.90502001,0.499196458477543
Figure 2d,NE 7,NE,1.29207755,0.245924142028491
Figure 2d,NE 8,NE,1.16102982,0.378889653760666
Figure 2d,NE 9,NE,0.6032681,0.0959551668081233
Figure 2d,NE 10,NE,0.0710546,0.00367773183938791
Figure 2d,NE 11,NE,0.6356585,0.266455119332968
Figure 2d,LGIN 1,LGIN,0.73975421,0.0640942532690398
Figure 2d,LGIN 2,LGIN,0.0,0.0
Figure 2d,LGIN 3,LGIN,3.58771114,0.210964428446526
Figure 2d,LGIN 4,LGIN,2.87068664,1.19839638555129
Figure 2d,LGIN 5,LGIN,2.54706686,1.11563047692032
Figure 2d,LGIN 6,LGIN,3.5891154,0.409390488793322
Figure 2d,LGIN 7,LGIN,2.62094994,0.312885324053359
Figure 2d,LGIN 8,LGIN,2.14995327,0.634759651702509
Figure 2d,LGIN 9,LGIN,1.78064398,0.564681794871813
Figure 2d,LGIN 10,LGIN,2.25183346,0.233397385064984
Figure 2d,LGIN 11,LGIN,3.07468151,0.603887912056829
Figure 2d,LGIN 12,LGIN,2.86294372,0.701115716633124
Figure 2d,HGIN 1,HGIN,4.34681134,1.52546791127779
Figure 2d,HGIN 2,HGIN,2.13046523,3.83005119048502
Figure 2d,HGIN 3,HGIN,3.63735219,0.693753967566249
Figure 2d,HGIN 4,HGIN,4.3808472,0.565050329974215
Figure 2d,HGIN 5,HGIN,9.00908803,3.72080906463178
Figure 2d,HGIN 6,HGIN,11.5377898,2.78483356911373
Figure 2d,HGIN 7,HGIN,7.48781505,1.49177162763062
Figure 2d,HGIN 8,HGIN,3.69005848,1.07042362721596
Figure 2d,HGIN 9,HGIN,8.68550213,4.4202798654625
Figure 2d,HGIN 10,HGIN,5.49168006,0.279028954561942
Figure 2d,HGIN 11,HGIN,4.607589,2.59459322962107
Figure 2d,HGIN 12,HGIN,2.61181497,1.17153030270363
Figure 2d,ESCC1,ESCC,4.67509347,5.00155082552327
Figure 2d,ESCC2,ESCC,2.59900913,6.72943921961431
Figure 2d,ESCC3,ESCC,5.70821437,9.11003892783169
Figure 2d,ESCC4,ESCC,6.92289084,3.54285317380985
Figure 2d,ESCC5,ESCC,5.54718459,2.63340446701273
Figure 2d,ESCC6,ESCC,2.49730578,1.0552359916516
Figure 2d,ESCC7,ESCC,8.67073045,2.45519444701088
